日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,300100,10.91,10.74,11.21,10.43,381387,419277055.0,7.55,3.97,0.41,9.85
2024-01-03,300100,10.95,10.83,11.78,10.72,345756,387165690.0,9.87,0.84,0.09,8.93
2024-01-04,300100,11.11,11.15,11.3,10.7,271550,302465197.0,5.54,2.95,0.32,7.02
2024-01-05,300100,11.14,10.62,11.48,10.5,289729,320503576.0,8.79,-4.75,-0.53,7.49
2024-01-08,300100,10.5,10.27,10.64,10.19,184342,192243211.0,4.24,-3.3,-0.35,4.76
2024-01-09,300100,10.25,10.16,10.54,9.97,129174,133001096.0,5.55,-1.07,-0.11,3.34
2024-01-10,300100,10.05,9.85,10.23,9.82,100552,101059305.0,4.04,-3.05,-0.31,2.6
2024-01-11,300100,9.78,9.96,10.05,9.46,122973,121145572.0,5.99,1.12,0.11,3.18
2024-01-12,300100,9.91,9.85,10.16,9.81,99560,100663993.0,3.51,-1.1,-0.11,2.57
2024-01-15,300100,9.76,9.58,9.84,9.28,122636,117928015.0,5.69,-2.74,-0.27,3.17
2024-01-16,300100,9.57,9.54,9.64,9.32,85314,81755683.0,3.34,-0.42,-0.04,2.2
2024-01-17,300100,9.55,9.24,9.58,9.23,53801,50954568.0,3.67,-3.14,-0.3,1.39
2024-01-18,300100,9.12,8.97,9.22,8.7,113123,101895354.0,5.63,-2.92,-0.27,2.92
2024-01-19,300100,8.96,8.75,9.0,8.7,66514,59282274.0,3.34,-2.45,-0.22,1.72
2024-01-22,300100,8.74,8.16,8.8,8.05,81922,69850904.0,8.57,-6.74,-0.59,2.12
2024-01-23,300100,8.16,8.02,8.19,7.87,84051,67973903.0,3.92,-1.72,-0.14,2.17
2024-01-24,300100,8.07,8.16,8.27,7.83,82387,67348140.0,5.49,1.75,0.14,2.13
2024-01-25,300100,8.16,8.4,8.42,8.03,88724,74208899.0,4.78,2.94,0.24,2.29
2024-01-26,300100,8.4,8.43,8.72,8.31,86388,74582268.0,4.88,0.36,0.03,2.23
2024-01-29,300100,8.43,7.98,8.45,7.93,74585,61382718.0,6.17,-5.34,-0.45,1.93
2024-01-30,300100,7.95,7.74,8.08,7.73,53024,42390513.0,4.39,-3.01,-0.24,1.37
2024-01-31,300100,7.79,7.26,7.82,7.21,83316,63125156.0,7.88,-6.2,-0.48,2.15
2024-02-01,300100,7.28,7.11,7.33,6.95,77842,56422222.0,5.23,-2.07,-0.15,2.01
2024-02-02,300100,7.11,6.69,7.24,6.44,79087,55029725.0,11.25,-5.91,-0.42,2.04
2024-02-05,300100,6.6,5.79,6.64,5.7,130301,79475066.0,14.05,-13.45,-0.9,3.37
2024-02-06,300100,5.8,6.03,6.25,5.27,157940,91809314.0,16.93,4.15,0.24,4.08
