日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,300378,21.09,20.55,21.47,20.49,67710,141349986.0,4.62,-3.07,-0.65,2.53
2024-01-03,300378,20.55,20.42,20.72,20.15,55589,113969922.0,2.77,-0.63,-0.13,2.08
2024-01-04,300378,20.34,20.17,20.57,20.12,53822,109897458.0,2.2,-1.22,-0.25,2.01
2024-01-05,300378,20.14,19.77,20.33,19.61,53445,107374544.0,3.57,-1.98,-0.4,2.0
2024-01-08,300378,19.64,19.13,19.85,19.09,47476,92443348.0,3.84,-3.24,-0.64,1.77
2024-01-09,300378,19.44,19.21,19.63,19.03,62322,121167729.0,3.14,0.42,0.08,2.33
2024-01-10,300378,19.15,18.72,19.19,18.57,48257,91361950.0,3.23,-2.55,-0.49,1.8
2024-01-11,300378,18.8,19.39,19.58,18.74,60622,117344057.0,4.49,3.58,0.67,2.27
2024-01-12,300378,19.32,19.05,19.48,18.98,44124,85054612.0,2.58,-1.75,-0.34,1.65
2024-01-15,300378,18.97,18.9,19.14,18.68,39867,75800801.0,2.41,-0.79,-0.15,1.49
2024-01-16,300378,18.86,18.75,18.92,18.33,47066,87933902.0,3.12,-0.79,-0.15,1.76
2024-01-17,300378,18.84,18.24,18.93,18.24,45283,84628267.0,3.68,-2.72,-0.51,1.69
2024-01-18,300378,18.03,18.41,18.48,17.69,73415,133066452.0,4.33,0.93,0.17,2.74
2024-01-19,300378,18.39,18.07,18.57,18.04,59278,108803212.0,2.88,-1.85,-0.34,2.22
2024-01-22,300378,18.07,16.95,18.33,16.83,80520,142717473.0,8.3,-6.2,-1.12,3.01
2024-01-23,300378,17.07,17.25,17.42,16.69,66007,113761096.0,4.31,1.77,0.3,2.47
2024-01-24,300378,17.39,17.47,17.56,16.56,72807,125075272.0,5.8,1.28,0.22,2.72
2024-01-25,300378,17.47,18.56,18.67,17.19,135351,246903877.0,8.47,6.24,1.09,5.06
2024-01-26,300378,19.39,18.61,19.77,18.42,192780,369877799.0,7.27,0.27,0.05,7.2
2024-01-29,300378,18.37,17.35,18.54,17.34,129328,231624869.0,6.45,-6.77,-1.26,4.83
2024-01-30,300378,17.31,16.96,17.72,16.88,65194,113578056.0,4.84,-2.25,-0.39,2.44
2024-01-31,300378,17.03,15.8,17.03,15.78,83808,137145302.0,7.37,-6.84,-1.16,3.13
2024-02-01,300378,15.76,15.97,16.48,15.5,72626,117139586.0,6.2,1.08,0.17,2.71
2024-02-02,300378,16.04,15.08,16.38,14.28,93443,144020419.0,13.15,-5.57,-0.89,3.49
2024-02-05,300378,14.87,13.49,14.87,13.01,146459,203005696.0,12.33,-10.54,-1.59,5.47
2024-02-06,300378,13.09,14.55,15.04,12.6,141377,198987351.0,18.09,7.86,1.06,5.28
2024-02-07,300378,14.5,13.95,15.07,13.66,140488,203928626.0,9.69,-4.12,-0.6,5.25
2024-02-08,300378,14.12,15.4,15.47,14.06,128464,191059716.0,10.11,10.39,1.45,4.8
2024-02-19,300378,15.99,16.43,16.72,15.81,141251,231177667.0,5.91,6.69,1.03,5.28
2024-02-20,300378,16.39,16.53,16.67,16.12,89085,147453684.0,3.35,0.61,0.1,3.33
2024-02-21,300378,16.21,16.68,17.66,16.18,125230,213318670.0,8.95,0.91,0.15,4.68
2024-02-22,300378,16.89,17.26,17.27,16.8,109191,187887903.0,2.82,3.48,0.58,4.08
2024-02-23,300378,17.71,18.13,18.18,17.19,146883,262155078.0,5.74,5.04,0.87,5.49
2024-02-26,300378,18.08,18.44,18.83,17.9,164780,304422919.0,5.13,1.71,0.31,6.16
2024-02-27,300378,18.29,19.18,19.22,18.02,152959,287055383.0,6.51,4.01,0.74,5.72
2024-02-28,300378,19.19,17.28,19.45,17.25,198657,367197043.0,11.47,-9.91,-1.9,7.42
2024-02-29,300378,17.28,18.24,18.25,17.25,122376,220545984.0,5.79,5.56,0.96,4.57
2024-03-01,300378,18.45,19.1,19.23,18.45,140803,267732682.0,4.28,4.71,0.86,5.26
2024-03-04,300378,19.14,19.37,19.61,18.61,170985,329194290.0,5.24,1.41,0.27,6.39
2024-03-05,300378,19.08,18.62,19.14,18.39,157656,297695302.0,3.87,-3.87,-0.75,5.89
2024-03-06,300378,18.44,18.66,19.02,18.25,106695,199942343.0,4.14,0.21,0.04,3.99
2024-03-07,300378,18.91,18.57,19.77,18.57,185584,356953407.0,6.43,-0.48,-0.09,6.94
2024-03-08,300378,18.6,18.93,18.97,18.29,111141,208601313.0,3.66,1.94,0.36,4.15
2024-03-11,300378,18.72,19.25,19.26,18.39,110815,210336585.0,4.6,1.69,0.32,4.14
2024-03-12,300378,19.23,19.41,19.62,19.14,146785,285854396.0,2.49,0.83,0.16,5.49
2024-03-13,300378,19.58,20.89,21.66,19.45,349441,721198659.0,11.39,7.62,1.48,13.06
2024-03-14,300378,20.39,20.06,20.48,19.5,214126,431741239.0,4.69,-3.97,-0.83,8.0
2024-03-15,300378,19.95,19.97,20.04,19.42,129697,257304787.0,3.09,-0.45,-0.09,4.85
2024-03-18,300378,19.84,20.21,20.22,19.73,139495,280252878.0,2.45,1.2,0.24,5.21
2024-03-19,300378,20.09,19.82,20.28,19.76,109932,220332665.0,2.57,-1.93,-0.39,4.11
2024-03-20,300378,19.74,20.4,20.63,19.69,157568,320233984.0,4.74,2.93,0.58,5.89
2024-03-21,300378,20.6,20.64,21.04,20.2,142794,295087525.0,4.12,1.18,0.24,5.34
2024-03-22,300378,20.68,19.97,20.68,19.5,160555,321555227.0,5.72,-3.25,-0.67,6.0
2024-03-25,300378,19.86,19.44,20.46,19.44,124264,250452690.0,5.11,-2.65,-0.53,4.64
2024-03-26,300378,19.2,18.84,19.55,18.46,135260,257494425.0,5.61,-3.09,-0.6,5.05
2024-03-27,300378,18.79,17.57,18.97,17.57,102031,185907659.0,7.43,-6.74,-1.27,3.81
2024-03-28,300378,17.79,18.35,18.65,17.71,94664,174191739.0,5.35,4.44,0.78,3.54
2024-03-29,300378,18.29,18.24,18.45,17.86,65984,120171217.0,3.22,-0.6,-0.11,2.47
2024-04-01,300378,18.29,18.77,18.84,18.29,70334,131961538.0,3.02,2.91,0.53,2.63
2024-04-02,300378,18.7,18.05,18.74,17.81,90562,165502867.0,4.95,-3.84,-0.72,3.38
2024-04-03,300378,18.04,17.22,18.04,17.14,94427,165087254.0,4.99,-4.6,-0.83,3.53
2024-04-08,300378,17.28,16.85,17.28,16.77,57382,98139537.0,2.96,-2.15,-0.37,2.14
2024-04-09,300378,16.99,17.06,17.2,16.83,49909,85542290.0,2.2,1.25,0.21,1.87
2024-04-10,300378,17.1,16.58,17.16,16.4,64408,108111479.0,4.45,-2.81,-0.48,2.41
2024-04-11,300378,16.49,16.7,16.97,16.49,54637,92412172.0,2.9,0.72,0.12,2.04
2024-04-12,300378,16.79,16.53,17.0,16.48,54049,91026053.0,3.11,-1.02,-0.17,2.02
2024-04-15,300378,16.36,15.97,16.57,15.67,82742,134120990.0,5.44,-3.39,-0.56,3.09
2024-04-16,300378,15.89,14.96,15.92,14.89,93542,143668839.0,6.45,-6.32,-1.01,3.5
2024-04-17,300378,15.21,15.84,15.94,15.21,88267,139637471.0,4.88,5.88,0.88,3.3
2024-04-18,300378,15.89,16.1,16.47,15.64,80653,130771467.0,5.24,1.64,0.26,3.01
2024-04-19,300378,16.0,15.9,16.08,15.51,56548,90293148.0,3.54,-1.24,-0.2,2.11
2024-04-22,300378,15.75,15.98,16.23,15.63,51065,82178077.0,3.77,0.5,0.08,1.91
