日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,600276,45.04,44.27,45.24,44.16,182608,815829089.0,2.4,-1.69,-0.76,0.29
2024-01-03,600276,44.01,44.03,44.68,43.85,146694,651690508.0,1.87,-0.54,-0.24,0.23
2024-01-04,600276,44.1,43.59,44.14,42.68,339045,1468337357.0,3.32,-1.0,-0.44,0.53
2024-01-05,600276,43.11,41.75,43.3,41.08,495227,2085701637.0,5.09,-4.22,-1.84,0.78
2024-01-08,600276,41.6,40.91,41.6,40.8,300091,1238699559.0,1.92,-2.01,-0.84,0.47
2024-01-09,600276,40.95,41.0,41.36,40.68,211749,872816754.0,1.66,0.22,0.09,0.33
2024-01-10,600276,41.0,41.3,41.79,40.57,206746,860280445.0,2.98,0.73,0.3,0.32
2024-01-11,600276,41.31,41.28,41.65,40.98,189720,788171079.0,1.62,-0.05,-0.02,0.3
2024-01-12,600276,41.01,40.9,41.4,40.72,132701,548157565.0,1.65,-0.92,-0.38,0.21
2024-01-15,600276,40.5,41.31,41.7,40.48,148935,617603018.0,2.98,1.0,0.41,0.23
2024-01-16,600276,41.0,41.21,41.45,40.6,186577,768555374.0,2.06,-0.24,-0.1,0.29
2024-01-17,600276,40.93,39.91,41.09,39.91,240232,974124257.0,2.86,-3.15,-1.3,0.38
2024-01-18,600276,39.8,41.09,41.2,39.27,387165,1559153303.0,4.84,2.96,1.18,0.61
2024-01-19,600276,40.89,41.21,41.4,40.61,317395,1309874297.0,1.92,0.29,0.12,0.5
2024-01-22,600276,41.2,40.58,41.5,39.93,349377,1430463188.0,3.81,-1.53,-0.63,0.55
2024-01-23,600276,40.48,40.1,40.72,40.03,208862,846394265.0,1.7,-1.18,-0.48,0.33
2024-01-24,600276,40.48,40.32,40.53,39.3,250042,1001342749.0,3.07,0.55,0.22,0.39
2024-01-25,600276,40.64,41.0,41.0,39.85,278912,1134726996.0,2.85,1.69,0.68,0.44
2024-01-26,600276,40.7,40.1,41.02,39.81,302800,1230888858.0,2.95,-2.2,-0.9,0.48
2024-01-29,600276,40.05,39.05,40.35,38.83,281051,1112608513.0,3.79,-2.62,-1.05,0.44
2024-01-30,600276,39.02,38.49,39.24,38.36,233013,905581935.0,2.25,-1.43,-0.56,0.37
2024-01-31,600276,38.2,37.25,38.4,37.02,380597,1433750351.0,3.59,-3.22,-1.24,0.6
2024-02-01,600276,37.0,36.96,37.86,36.68,300235,1122310504.0,3.17,-0.78,-0.29,0.47
2024-02-02,600276,37.02,35.75,37.47,35.31,360475,1317464771.0,5.84,-3.27,-1.21,0.57
2024-02-05,600276,35.78,37.2,37.76,35.59,497939,1835851264.0,6.07,4.06,1.45,0.78
2024-02-06,600276,37.2,40.8,40.85,37.0,568195,2272656933.0,10.35,9.68,3.6,0.89
2024-02-07,600276,41.05,41.64,41.66,40.31,522124,2164428888.0,3.31,2.06,0.84,0.82
2024-02-08,600276,41.64,41.67,42.35,40.98,379944,1579175793.0,3.29,0.07,0.03,0.6
2024-02-19,600276,41.66,41.46,41.97,40.85,253808,1055722627.0,2.69,-0.5,-0.21,0.4
2024-02-20,600276,41.53,41.66,42.03,41.31,212255,889338539.0,1.74,0.48,0.2,0.33
2024-02-21,600276,41.68,42.02,42.26,41.25,299015,1260180460.0,2.42,0.86,0.36,0.47
2024-02-22,600276,41.8,42.23,42.34,41.76,175301,740956883.0,1.38,0.5,0.21,0.28
