日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,300738,10.58,10.6,10.86,10.38,671666,718457087.0,4.54,0.28,0.03,7.12
2024-01-03,300738,10.5,10.54,10.56,10.17,523916,543491658.0,3.68,-0.57,-0.06,5.55
2024-01-04,300738,10.38,10.74,11.06,10.25,835122,897751488.0,7.69,1.9,0.2,8.85
2024-01-05,300738,10.86,10.37,11.08,10.28,678027,722690746.0,7.45,-3.45,-0.37,7.19
2024-01-08,300738,10.25,10.24,10.59,9.98,468609,485708114.0,5.88,-1.25,-0.13,4.97
2024-01-09,300738,10.24,10.02,10.45,9.84,493214,499555198.0,5.96,-2.15,-0.22,5.23
2024-01-10,300738,9.91,9.58,9.94,9.54,372622,362406105.0,3.99,-4.39,-0.44,3.95
2024-01-11,300738,9.58,10.36,10.58,9.52,595381,604635671.0,11.06,8.14,0.78,6.31
2024-01-12,300738,10.26,10.03,10.44,10.0,377609,385818595.0,4.25,-3.19,-0.33,4.0
2024-01-15,300738,9.98,9.75,10.06,9.73,268221,264570687.0,3.29,-2.79,-0.28,2.84
2024-01-16,300738,9.76,10.06,10.13,9.63,404925,402587526.0,5.13,3.18,0.31,4.29
2024-01-17,300738,9.96,9.68,10.03,9.67,297070,291929969.0,3.58,-3.78,-0.38,3.15
2024-01-18,300738,9.63,10.11,10.11,9.28,477961,468606717.0,8.57,4.44,0.43,5.07
2024-01-19,300738,10.01,9.79,10.07,9.78,307032,305854683.0,2.87,-3.17,-0.32,3.26
2024-01-22,300738,9.78,9.58,10.06,9.44,403772,396800199.0,6.33,-2.15,-0.21,4.28
2024-01-23,300738,9.44,9.32,9.53,8.75,376248,349262667.0,8.14,-2.71,-0.26,3.99
2024-01-24,300738,9.35,9.29,9.41,8.85,355394,324544857.0,6.01,-0.32,-0.03,3.77
2024-01-25,300738,9.24,9.51,9.58,9.12,315362,297246325.0,4.95,2.37,0.22,3.34
2024-01-26,300738,9.48,9.17,9.77,9.13,299254,283794356.0,6.73,-3.58,-0.34,3.17
2024-01-29,300738,9.14,8.53,9.22,8.52,352282,310605992.0,7.63,-6.98,-0.64,3.74
2024-01-30,300738,8.43,8.61,8.93,8.28,240491,206816293.0,7.62,0.94,0.08,2.55
2024-01-31,300738,8.61,8.24,8.7,8.23,233137,198158910.0,5.46,-4.3,-0.37,2.47
2024-02-01,300738,8.12,8.02,8.43,7.83,292313,237536553.0,7.28,-2.67,-0.22,3.1
2024-02-02,300738,8.07,7.56,8.22,7.27,336482,260783981.0,11.85,-5.74,-0.46,3.57
2024-02-05,300738,7.41,6.88,7.51,6.64,368268,259431002.0,11.51,-8.99,-0.68,3.9
2024-02-06,300738,6.83,7.52,7.68,6.78,319146,231662352.0,13.08,9.3,0.64,3.38
2024-02-07,300738,7.51,7.81,8.01,7.51,321848,251685698.0,6.65,3.86,0.29,3.41
2024-02-08,300738,7.92,8.13,8.35,7.91,345510,282603185.0,5.63,4.1,0.32,3.66
2024-02-19,300738,8.49,8.48,8.63,8.3,344825,292761550.0,4.06,4.31,0.35,3.66
2024-02-20,300738,8.46,8.54,8.63,8.31,264360,225513830.0,3.77,0.71,0.06,2.8
2024-02-21,300738,8.39,8.43,8.74,8.36,335767,287989202.0,4.45,-1.29,-0.11,3.56
2024-02-22,300738,8.53,8.73,8.83,8.52,332292,289710905.0,3.68,3.56,0.3,3.52
2024-02-23,300738,8.76,8.87,8.91,8.63,341956,300656464.0,3.21,1.6,0.14,3.63
2024-02-26,300738,8.88,8.84,9.03,8.69,319655,284112943.0,3.83,-0.34,-0.03,3.39
2024-02-27,300738,8.78,9.43,9.44,8.76,460923,424490356.0,7.69,6.67,0.59,4.89
2024-02-28,300738,9.48,8.71,9.63,8.69,547503,507319201.0,9.97,-7.64,-0.72,5.81
2024-02-29,300738,8.62,9.14,9.17,8.62,313372,283192587.0,6.31,4.94,0.43,3.32
2024-03-01,300738,9.16,9.39,9.43,9.11,321857,300504103.0,3.5,2.74,0.25,3.41
2024-03-04,300738,9.53,9.82,9.93,9.38,586572,570771804.0,5.86,4.58,0.43,6.22
2024-03-05,300738,9.7,9.41,9.74,9.34,494850,472066112.0,4.07,-4.18,-0.41,5.25
2024-03-06,300738,9.34,9.38,9.49,9.18,308250,288596239.0,3.29,-0.32,-0.03,3.27
2024-03-07,300738,9.39,9.16,9.56,9.15,286037,268017921.0,4.37,-2.35,-0.22,3.03
