日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,688185,74.7,72.59,74.79,72.55,13145,96124006.0,3.01,-2.59,-1.93,1.15
2024-01-03,688185,72.51,72.21,73.9,71.91,10274,74787920.0,2.74,-0.52,-0.38,0.9
2024-01-04,688185,72.2,71.44,72.2,71.0,8349,59576596.0,1.66,-1.07,-0.77,0.73
2024-01-05,688185,71.44,70.39,71.97,70.09,9467,67304514.0,2.63,-1.47,-1.05,0.82
2024-01-08,688185,70.32,68.77,70.32,68.68,10980,75909950.0,2.33,-2.3,-1.62,0.96
2024-01-09,688185,68.87,68.27,69.59,68.22,8320,57164332.0,1.99,-0.73,-0.5,0.72
2024-01-10,688185,68.35,67.56,69.29,66.75,8117,54978670.0,3.72,-1.04,-0.71,0.71
2024-01-11,688185,67.58,68.83,69.47,67.58,7562,51880754.0,2.8,1.88,1.27,0.66
2024-01-12,688185,68.5,67.99,69.2,67.85,7335,50213779.0,1.96,-1.22,-0.84,0.64
2024-01-15,688185,68.0,66.81,68.0,66.7,6839,45894319.0,1.91,-1.74,-1.18,0.6
2024-01-16,688185,67.37,66.35,67.73,65.75,9306,62078347.0,2.96,-0.69,-0.46,0.81
2024-01-17,688185,66.35,63.18,66.42,63.0,14246,91635267.0,5.15,-4.78,-3.17,1.24
2024-01-18,688185,63.33,61.99,63.39,60.1,17153,105111077.0,5.21,-1.88,-1.19,1.49
2024-01-19,688185,61.68,60.38,62.9,59.74,14270,86637429.0,5.1,-2.6,-1.61,1.24
2024-01-22,688185,60.14,56.5,60.15,56.43,17024,99202521.0,6.16,-6.43,-3.88,1.48
2024-01-23,688185,56.4,57.3,58.3,56.4,13639,78145616.0,3.36,1.42,0.8,1.19
2024-01-24,688185,57.78,58.28,58.5,55.81,12278,70544175.0,4.69,1.71,0.98,1.07
2024-01-25,688185,58.18,59.84,60.37,57.74,11969,70968637.0,4.51,2.68,1.56,1.04
2024-01-26,688185,59.94,57.87,60.4,57.5,11836,69815844.0,4.85,-3.29,-1.97,1.03
2024-01-29,688185,58.45,56.61,59.16,56.61,9065,52430652.0,4.41,-2.18,-1.26,0.79
2024-01-30,688185,56.35,55.81,57.73,55.6,8926,50486321.0,3.76,-1.41,-0.8,0.78
2024-01-31,688185,54.96,51.88,55.53,51.88,20737,110109584.0,6.54,-7.04,-3.93,1.81
2024-02-01,688185,51.46,53.14,54.33,51.37,14765,78358381.0,5.71,2.43,1.26,1.29
2024-02-02,688185,53.11,49.91,53.6,48.23,19421,98742874.0,10.11,-6.08,-3.23,1.69
2024-02-05,688185,49.91,46.06,49.91,44.02,20617,96388989.0,11.8,-7.71,-3.85,1.8
2024-02-06,688185,45.06,50.48,50.59,45.06,22800,109948973.0,12.01,9.6,4.42,1.99
2024-02-07,688185,50.5,52.06,53.56,50.28,27074,141914745.0,6.5,3.13,1.58,2.36
2024-02-08,688185,52.08,54.49,55.18,51.52,20172,109014634.0,7.03,4.67,2.43,1.76
2024-02-19,688185,54.99,53.89,55.78,53.01,16353,88792559.0,5.08,-1.1,-0.6,1.42
2024-02-20,688185,53.47,54.27,54.78,53.41,11676,63229718.0,2.54,0.71,0.38,1.02
2024-02-21,688185,53.95,55.12,56.26,53.3,15871,87665083.0,5.45,1.57,0.85,1.38
2024-02-22,688185,55.2,55.23,55.86,54.6,11946,65849202.0,2.29,0.2,0.11,1.04
2024-02-23,688185,55.4,55.86,55.89,54.58,14557,80582767.0,2.37,1.14,0.63,1.27
2024-02-26,688185,55.48,56.58,57.73,55.02,18704,105516428.0,4.85,1.29,0.72,1.63
2024-02-27,688185,56.58,57.21,57.68,55.88,16094,91030128.0,3.18,1.11,0.63,1.4
2024-02-28,688185,57.36,55.03,60.2,55.01,27764,161454240.0,9.07,-3.81,-2.18,2.42
2024-02-29,688185,55.33,57.4,57.5,55.26,19617,110934696.0,4.07,4.31,2.37,1.71
2024-03-01,688185,57.89,57.08,57.95,56.06,15804,89820674.0,3.29,-0.56,-0.32,1.38
2024-03-04,688185,57.09,57.66,58.94,56.64,16872,97217764.0,4.03,1.02,0.58,1.47
2024-03-05,688185,56.81,55.66,57.5,55.4,16408,91891177.0,3.64,-3.47,-2.0,1.43
2024-03-06,688185,55.55,55.28,56.29,54.41,13272,73258651.0,3.38,-0.68,-0.38,1.16
2024-03-07,688185,55.3,53.6,55.54,53.6,15731,85586637.0,3.51,-3.04,-1.68,1.37
2024-03-08,688185,53.6,53.2,54.38,52.5,11836,63086205.0,3.51,-0.75,-0.4,1.03
2024-03-11,688185,53.5,55.96,56.01,53.5,20449,112447350.0,4.72,5.19,2.76,1.78
2024-03-12,688185,56.52,57.18,57.5,56.02,16060,91363718.0,2.64,2.18,1.22,1.4
2024-03-13,688185,56.87,56.7,57.25,55.75,13483,76052978.0,2.62,-0.84,-0.48,1.17
2024-03-14,688185,57.55,56.6,58.88,55.99,21782,125356658.0,5.1,-0.18,-0.1,1.9
2024-03-15,688185,56.48,56.13,57.7,55.23,16937,95288816.0,4.36,-0.83,-0.47,1.48
2024-03-18,688185,56.72,57.2,57.29,55.4,15525,87844914.0,3.37,1.91,1.07,1.35
2024-03-19,688185,57.62,56.46,57.62,56.4,11375,64665393.0,2.13,-1.29,-0.74,0.99
2024-03-20,688185,56.43,56.31,57.0,55.6,10343,58122967.0,2.48,-0.27,-0.15,0.9
2024-03-21,688185,56.08,55.4,56.71,55.06,11735,65302457.0,2.93,-1.62,-0.91,1.02
2024-03-22,688185,55.4,52.98,55.6,52.81,16359,87627145.0,5.04,-4.37,-2.42,1.43
2024-03-25,688185,52.98,51.2,53.58,51.2,13356,69474240.0,4.49,-3.36,-1.78,1.16
2024-03-26,688185,51.51,50.5,51.63,49.9,11213,56761336.0,3.38,-1.37,-0.7,0.98
2024-03-27,688185,50.17,48.89,50.46,48.89,13671,67915707.0,3.11,-3.19,-1.61,1.19
2024-03-28,688185,48.81,49.14,49.95,48.08,14376,71038024.0,3.82,0.51,0.25,1.25
2024-03-29,688185,49.0,49.55,49.75,48.79,9107,44880085.0,1.95,0.83,0.41,0.79
2024-04-01,688185,49.57,50.99,51.04,49.57,13843,69913075.0,2.97,2.91,1.44,1.21
2024-04-02,688185,51.2,51.35,51.99,49.86,16379,83495559.0,4.18,0.71,0.36,1.43
2024-04-03,688185,51.35,50.66,52.88,50.66,16761,86654849.0,4.32,-1.34,-0.69,1.46
2024-04-08,688185,50.07,48.79,50.21,48.79,14043,69326930.0,2.8,-3.69,-1.87,1.22
2024-04-09,688185,48.98,53.98,54.81,48.66,30298,158988380.0,12.61,10.64,5.19,2.64
2024-04-10,688185,54.04,51.9,54.2,51.65,20821,109326448.0,4.72,-3.85,-2.08,1.81
2024-04-11,688185,51.64,51.0,52.58,50.9,14717,75905982.0,3.24,-1.73,-0.9,1.28
